#SetID	ThemeGroup	Theme	SubTheme	Year	Name	Pieces	USRetailPrice
22728	Vintage	Samsonite	Basic Set	1971	Promotional Basic Set No. 7 (Kraft Velveeta)	159	2
4079	Basic	Basic	{Unknown}	1978	Basic Building Set, 3+	93	5.5
7239	Basic	Universal Building Set	{Unknown}	1973	Basic Set #8	776	19
22729	Vintage	Samsonite	Basic Set	1971	Promotional Basic Set No. 8 (Kraft Velveeta)	301	5
4522	Basic	Basic	{Unknown}	1978	Basic Building Set, 3+	116	0
22730	Vintage	Samsonite	Basic Set	1971	Promotional Basic Set No. 9 (Kraft Velveeta)	550	8
25349	Basic	System	Basic Set	1965	Basic Building Set in Cardboard	57	0
7530	Pre-school	Duplo	{Unknown}	1973	Pre-School Set	17	0
2	Basic	Basic	{Unknown}	1976	Basic Building Set, 3+	152	2.75
8359	Basic	System	Basic Set	1968	Basic Building Set	78	0
22731	Vintage	Samsonite	Basic Set	1971	Promotional Basic Set No. 10 (Kraft Velveeta)	101	2
8406	Basic	System	Basic Set	1968	Basic Building Set	146	0
7700	Vintage	Minitalia	{Unknown}	1973	Small pre-school set	32	0
7521	Modern day	Town	Accessories	1979	Town Minifigures	3	4.49
5024	Historical	Castle	Bonus/Value Pack	1987	2 For 1 Bonus Offer	151	1.5
7522	Action/Adventure	Space	Minifigure Pack	1979	Space minifigures	12	0
7701	Vintage	Minitalia	{Unknown}	1973	Medium pre-school set	70	0
7523	Action/Adventure	Space	Minifigure Pack	1979	Space minifigures	12	0
7702	Vintage	Minitalia	{Unknown}	1973	Large pre-school set	92	0
7524	Action/Adventure	Space	Minifigure Pack	1979	Space minifigures	12	0
31588	Action/Adventure	Space	Classic	1982	Space Mini-Figures	24	0
7703	Vintage	Minitalia	{Unknown}	1973	Small house set	0	0
7563	Action/Adventure	Space	Minifigure Pack	1979	Space minifigures	18	0
23464	Historical	Castle	Classic	1984	Castle Minifigures	10	0
7704	Vintage	Minitalia	{Unknown}	1973	Large house set	157	0
7525	Historical	Castle	Classic	1979	Castle Minifigures	15	0
7705	Vintage	Minitalia	{Unknown}	1973	City square	0	0
7706	Vintage	Minitalia	{Unknown}	1973	Airport	0	0
707	Basic	Basic	{Unknown}	1976	Basic Building Set, 3+	217	0
25350	Basic	System	Basic Set	1965	Basic Building Set in Cardboard	94	0
7531	Pre-school	Duplo	{Unknown}	1973	Building Set	25	0
22671	Vintage	Samsonite	Basic Set	1966	Wheel Set	185	4.95
7707	Vintage	Minitalia	{Unknown}	1971	Truck	33	0
7708	Vintage	Minitalia	{Unknown}	1971	Car	47	0
8207	Basic	System	Basic Set	1968	Basic Building Set	110	0
22672	Vintage	Samsonite	Basic Set	1965	Doll Furniture	301	0
22519	Miscellaneous	Assorted	{Unknown}	1995	Value Pack Italy	91	0
7709	Vintage	Minitalia	{Unknown}	1971	Delivery truck	64	0
22520	Modern day	Town	Product Collection	1995	Value Pack Italy	156	0
7710	Vintage	Minitalia	{Unknown}	1971	Train	88	0
1119	Pre-school	Duplo	{Unknown}	1979	Nursery Furniture	7	0
1233	Basic	Basic	{Unknown}	1976	Basic Building Set, 3+	258	0
25351	Basic	System	Basic Set	1965	Basic Building Set in Cardboard	167	0
7711	Vintage	Minitalia	{Unknown}	1973	Small ship	26	0
7532	Pre-school	Duplo	{Unknown}	1973	Building Set	29	0
7712	Vintage	Minitalia	{Unknown}	1973	Medium ship	39	0
1382	Pre-school	Duplo	{Unknown}	1979	Living Room Furniture	14	0
7713	Vintage	Minitalia	{Unknown}	1973	Large ship	57	0
7143	Pre-school	Duplo	{Unknown}	1979	Farm Animals	21	0
7142	Basic	System	Basic Set	1968	Basic Building Set	182	0
1866	Basic	Basic	{Unknown}	1976	Basic Building Set, 3+	258	0
25144	Basic	System	Basic Set	1964	Basic Building Set in Cardboard	287	0
25135	Vintage	Samsonite	Jumbo Bricks	1964	Pre-School Beginners Set	24	4.95
1946	Pre-school	Duplo	{Unknown}	1979	Play-Box	4	0
22678	Vintage	Samsonite	Jumbo Bricks	1966	Jumbo Brick Pull Toy	6	3.5
8362	Basic	System	Basic Set	1968	Basic Building Set	234	0
22700	Vintage	Samsonite	Jumbo Bricks	1969	Jumbo Bricks	30	0
2159	Pre-school	Duplo	{Unknown}	1979	Farm	65	0
25354	Vintage	Samsonite	Supplemental	1969	Assorted Clear Bricks & Plates	37	0
25355	Vintage	Samsonite	Supplemental	1969	Assorted White Bricks & Plates	37	0
25413	Vintage	Samsonite	Supplemental	1969	Gates and Fences	15	0
25356	Vintage	Samsonite	Supplemental	1969	Assorted Blue / Yellow Bricks Pack	50	0
25357	Vintage	Samsonite	Supplemental	1969	Windows / Doors & Trees / Bushes	27	0
25145	Basic	System	Basic Set	1964	Basic Building Set in Cardboard	287	0
2391	Basic	Basic	{Unknown}	1976	Basic Building Set, 3+	382	0
25358	Vintage	Samsonite	Supplemental	1969	Lighting Device Pack	4	0
25359	Vintage	Samsonite	Supplemental	1966	Assorted basic bricks - Red	50	1
25360	Vintage	Samsonite	Supplemental	1966	Assorted basic bricks - White	50	1
25361	Vintage	Samsonite	Supplemental	1966	Assorted basic bricks - Blue	50	1
25362	Vintage	Samsonite	Supplemental	1966	Assorted basic bricks - Yellow	50	1
9581	Action/Adventure	Space	UFO	1997	UFO Action Pack	94	0
25363	Vintage	Samsonite	Supplemental	1966	Trees & Bushes	25	1
27657	Vintage	Samsonite	Basic set	1976	Basic Set	291	0
8363	Basic	System	Basic Set	1968	Basic Building Set	256	0
25364	Vintage	Samsonite	Supplemental	1966	Windows & Doors	27	1.5
25365	Vintage	Samsonite	Supplemental	1966	Large Wheels	17	1.5
25366	Vintage	Samsonite	Supplemental	1966	Small wheels	26	1.5
25367	Vintage	Samsonite	Supplemental	1966	Red Roof Bricks Pack	50	1
25368	Vintage	Samsonite	Supplemental	1966	Assorted White Plates Pack	15	1
25352	Basic	System	Basic Set	1965	Basic Building Set in Cardboard	0	0
22701	Vintage	Samsonite	Jumbo Bricks	1968	Jumbo Brick School Set	60	0
25369	Vintage	Samsonite	Supplemental	1966	5 - 10X20 base plates - Green	5	1
5291	Pre-school	PreSchool	{Unknown}	1978	Puppy	8	0
25370	Vintage	Samsonite	Supplemental	1966	5 - 10X20 base plates - White	5	1
25371	Vintage	Samsonite	Supplemental	1966	5 - 10X20 base plates - Blue	5	1
3146	Pre-school	PreSchool	{Unknown}	1978	Ducks	5	0
25372	Vintage	Samsonite	Supplemental	1969	5 - 10X20 base plates - White / Blue	5	0
25373	Vintage	Samsonite	Supplemental	1969	2 Garage Door Kits	6	0
8364	Basic	System	Basic Set	1968	Basic Building Set	407	0
22717	Vintage	Samsonite	Basic set	1968	Governor Set	387	12.95
7038	Basic	System	Basic Set	1967	Universal Building Set	0	0
3789	Pre-school	Duplo	{Unknown}	1979	Block Box	24	0
5260	Pre-school	PreSchool	{Unknown}	1976	PreSchool Set	20	0
5261	Pre-school	PreSchool	{Unknown}	1975	PreSchool Set	16	0
5262	Pre-school	PreSchool	{Unknown}	1975	PreSchool Set	20	0
30975	Pre-school	Duplo	{Unknown}	1975	Pre-School Set	21	0
5263	Pre-school	PreSchool	{Unknown}	1975	PreSchool Set	32	0
7418	Vintage	Samsonite	Supplemental	1970	Roadway Base Plate 50X50	1	1.99
22707	Vintage	Samsonite	Basic set	1975	Basic Set	330	0
25411	Vintage	Samsonite	Supplemental	1969	Giant Base Plate 50X50	1	0
8403	Basic	System	Basic Set	1967	Basic Building Set with Train	718	0
22692	Vintage	Samsonite	Basic Set	1967	Ambassador Set	562	25
7989	Pre-school	PreSchool	{Unknown}	1976	Police Station	28	0
7990	Pre-school	PreSchool	{Unknown}	1976	Train Station	53	0
7991	Pre-school	PreSchool	{Unknown}	1976	LEGOVille	66	0
5287	Pre-school	PreSchool	{Unknown}	1977	Racer	4	0
4403	Pre-school	PreSchool	{Unknown}	1978	Tub Boat	3	0
5289	Pre-school	PreSchool	{Unknown}	1977	Taxi	5	0
5293	Pre-school	PreSchool	{Unknown}	1977	Camping	9	0
7327	Basic	Universal Building Set	Basic Set	1969	Super Set	615	0
5292	Pre-school	PreSchool	{Unknown}	1977	Mary's House	17	0
25455	Educational	Dacta	Classic	1965	Educational Box - Empty	0	0
25440	Educational	Dacta	Classic	1965	Educational Set 1 (Terapi I)	0	0
25441	Educational	Dacta	Classic	1965	Educational Set 2 (Therapy II)	0	0
25442	Educational	Dacta	Classic	1965	Educational Set 3 (Therapy III)	0	0
25325	Vintage	Samsonite	Basic Set	1966	Small Basic Set	0	0
22679	Vintage	Samsonite	Basic Set	1966	Gift Set	99	2.95
8341	Modern day	Trains	Supplemental / 4.5V	1966	4.5V Motor with Wheels (Small Version)	16	0
25460	Modern day	Trains	Supplemental / 4.5V	1966	4.5V Motor with Wheels (Large Version)	27	0
25319	Modern day	Trains	Supplemental / 4.5V	1969	4.5V Battery Case	1	0
7533	Vintage	Samsonite	Basic set	1971	Imagination Set 1	290	4.95
8342	Modern day	Trains	Supplemental / 4.5V	1966	4.5V Battery Case	1	0
8365	Modern day	Trains	Supplemental / 4.5V	1968	4.5V Motor Set	24	0
7534	Vintage	Samsonite	Basic set	1971	Imagination Set 2	426	6.95
22702	Vintage	Samsonite	Basic Set	1969	Super Value Set	102	0
8380	Basic	Universal Building Set	Supplemental	1969	4.5V Motor Set with Rubber Tracks	32	0
7328	Vintage	Samsonite	Basic set	1971	Imagination Set 3	576	9.95
7419	Modern day	Trains	Supplemental / 4.5V	1970	4.5V Replacement Motor	1	0
7535	Vintage	Samsonite	Basic set	1971	Imagination Set 4	737	12.95
123	Modern day	Town	Special	1984	Mail Van	65	0
5265	Basic	Universal Building Set	{Unknown}	1973	Building Set	149	0
7356	Vintage	Samsonite	Basic set	1971	Imagination Set 5	917	14.95
25226	Vintage	Samsonite	Jumbo Bricks	1964	Pre-School Beginners Set	24	0
125	Modern day	Town	Special	1985	UNICEF Van	59	0
130	Basic	Basic	Supplementaries	1976	Universal Motor	137	0
129	Modern day	Town	Special	1985	Mail Truck	124	0
7357	Vintage	Samsonite	Model Maker	1971	4.5V Reversible Power Unit	16	10.95
7474	Basic	Basic	{Unknown}	1976	Battery box	1	0
141	Basic	Universal Building Set	{Unknown}	1977	Building Set, 3+	131	0
7358	Vintage	Samsonite	Supplemental	1971	Vehicle Accessory Pack	61	0
152	Basic	Universal Building Set	{Unknown}	1977	Building Set, 3+	173	0
8343	Modern day	Trains	4.5V	1966	Starter Train Set without Motor	123	0
7359	Vintage	Samsonite	Supplemental	1971	Building Accessory Pack	111	0
26523	Vintage	Samsonite	Train	1968	Starter Train Set	120	0
159	Basic	Universal Building Set	{Unknown}	1977	Building Set, 3+	200	0
501	Modern day	Trains	4.5V	1966	Locomotive with Motor	76	0
7959	Vintage	Samsonite	Supplemental	1971	Lego Giant Base Plate	2	0
170	Basic	Universal Building Set	{Unknown}	1977	Universal Building Set, 3+	258	0
500	Modern day	Trains	4.5V	1966	Motorized Train Set	271	0
22718	Vintage	Samsonite	Train	1968	Motorized Train Set	402	16.9899
172	Basic	Universal Building Set	{Unknown}	1977	Building Set, 3+	390	0
8344	Modern day	Trains	4.5V	1966	Small Train Set	88	0
5266	Basic	Universal Building Set	{Unknown}	1973	Building Set	190	0
8345	Modern day	Trains	4.5V	1966	Starter Train Set with Motor	139	0
8350	Modern day	Trains	4.5V	1967	Starter Train Set with Motor	439	0
22719	Vintage	Samsonite	Train	1968	Deluxe Motorized Train Set	360	20
8351	Modern day	Trains	4.5V	1967	Locomotive without Motor	107	0
8366	Modern day	Trains	4.5V	1968	Electronic Train	110	0
22721	Modern day	Trains	4.5V	1968	Small Train Set	451	19.9899
25462	Vintage	Samsonite	Train	1969	Motorized Freight or Passenger Train (Sears Exclusive)	451	19.99
8367	Modern day	Trains	4.5V	1968	Super Train Set	436	0
8381	Modern day	Trains	4.5V	1969	Complete Freight Train Set with Tipper Trucks	175	0
22673	Vintage	Samsonite	Basic Set	1966	Small Basic Set	120	2.95
194	Junior	Fabuland	{Unknown}	1979	Roadster	22	0
8382	Modern day	Trains	4.5V	1969	Loco and Tender	102	0
8383	Modern day	Trains	4.5V	1969	Passenger Coach	98	0
6726	Modern day	Trains	4.5V	1969	Goods Wagon	56	0
8409	Modern day	Trains	4.5V	1969	Tipping Wagon	20	0
5267	Basic	Universal Building Set	{Unknown}	1974	Universal Building Set	234	0
6020	Modern day	Trains	4.5v	1970	Steam Locomotive (Push)	60	0
7360	Modern day	Trains	4.5v	1969	Complete Train with 3 Wagons	575	0
229	Junior	Fabuland	{Unknown}	1979	Taxi Station	33	0
7361	Modern day	Trains	4.5V	1971	Mobile Crane (Train Base)	23	0
7362	Modern day	Trains	4.5V	1971	Mobile Crane (Plate Base)	38	0
249	Modern day	Trains	4.5/12V	1972	Double Tipper Wagon	20	0
7391	Modern day	Trains	4.5/12V	1972	Passenger Coach	67	0
250	Junior	Fabuland	{Unknown}	1979	Cottage	113	0
7392	Modern day	Trains	4.5/12V	1972	Port Crane and Flat Wagon	60	0
7985	Modern day	Trains	4.5/12V	1975	Locomotive	87	0
252	Modern day	Trains	4.5/12V	1975	Mobile Crane and Wagon	86	0
251	Junior	Fabuland	{Unknown}	1979	Service Station	59	0
5237	Basic	Universal Building Set	{Unknown}	1973	Building Set	338	0
261	Modern day	Trains	4.5/12V	1975	Tanker Wagon	83	0
266	Junior	Fabuland	{Unknown}	1979	Hospital	106	0
7437	Modern day	Trains	4.5/12V	1975	Passenger Sleeping Car	82	0
8385	Modern day	Trains	4.5V	1969	Electronic Train	111	0
8386	Modern day	Trains	Supplemental / 4.5V	1969	Electronic Control Unit (Forward/Backward - Stop)	13	0
285	Junior	Fabuland	{Unknown}	1979	Town Hall	134	0
7329	Basic	Universal Building Set	Basic Set	1969	Basic Set With Motor	96	0
5243	Basic	Universal Building Set	{Unknown}	1974	Universal Building Set	338	0
327	Modern day	Trains	4.5/12V	1976	Level Crossing	68	0
340	Modern day	Trains	4.5/12V	1976	Refrigerated Wagon	115	0
352	Modern day	Trains	4.5/12V	1975	Station	293	0
7181	Modern day	Trains	4.5/12V	1976	Fuel Refinery	328	0
7932	Modern day	Trains	Supplemental / 4.5V	1966	Straight Track	28	2
26524	Vintage	Samsonite	Train	1966	Straight Train Track	28	0
7930	Modern day	Trains	Supplemental / 4.5V	1966	Curved Track	28	2
26525	Vintage	Samsonite	Train	1966	Curved Train Track	28	0
8346	Modern day	Trains	4.5V	1966	Two Train Wagons	28	0
8347	Modern day	Trains	4.5V	1966	Large Train Wagon	18	0
397	Modern day	Trains	Supplemental / 4.5V	1967	Switch Track - 1 Right and 1 Left	4	2
27903	Vintage	Samsonite	Train	1966	Switch Track	0	0
7931	Modern day	Trains	Supplemental / 4.5V	1967	2 Cross Rails, 8 Straight Tracks, 4 Base Plates	14	2
27904	Vintage	Samsonite	Train	1966	Cross Track	14	0
8407	Modern day	Trains	Supplemental / 4.5V	1968	2 Signals with Automatic Stop / Go Attachment	6	0
417	Modern day	Trains	4.5/12V	1976	Straight Track	25	0
425	Modern day	Trains	4.5/12V	1976	Curved Track	25	0
8369	Modern day	Trains	Supplemental / 4.5V	1969	Automatic Direction Changer	7	0
22704	Vintage	Samsonite	Model Maker	1970	4 Car Auto Transport	65	4.99
8370	Modern day	Trains	Supplemental / 4.5V	1969	Railroad Crossing Gate	9	0
435	Modern day	Trains	4.5/12V	1976	Straight Track with Crossing	25	0
29328	Modern day	Trains	Supplemental / 4.5V	1968	Blue Track Layout Pack	0	0
8371	Modern day	Trains	Supplemental / 4.5V	1968	Magnetic Couplings	6	0
7393	Modern day	Trains	4.5/12V	1972	Battery Wagon	8	0
456	Modern day	Trains	4.5/12V	1977	Locomotive	210	0
465	Modern day	Trains	4.5/12V	1977	Cargo Wagon	128	0
473	Modern day	Trains	4.5/12V	1978	Passenger Coach	148	0
484	Modern day	Trains	4.5/12V	1978	Cargo Station	268	0
7511	Modern day	Trains	4.5/12V	1978	Flat Wagon	53	0
7363	Vintage	Samsonite	Supplemental	1971	Vehicle Extra Parts Kit	61	0
7512	Modern day	Trains	4.5/12V	1978	Car Transport Wagon	102	0
7364	Vintage	Samsonite	Supplemental	1971	House and Garden Extra Parts Kit	111	0
7394	Modern day	Trains	4.5/12V	1972	Push-along Play Train	93	0
525	Modern day	Trains	4.5/12V	1972	Train Set without Motor	147	0
7395	Modern day	Trains	4.5/12V	1972	4.5V Train with 5 Wagons	228	0
7396	Modern day	Trains	4.5/12V	1972	Train Set with Motor, Signals and Shunting Switch	148	0
608	Modern day	Trains	4.5/12V	1975	Train Set with Motor	369	0
7475	Modern day	Trains	4.5/12V	1976	Train Set with Motor and Signal	194	0
5244	Vintage	Building Set with People	{Unknown}	1975	Farm Set	526	0
5294	Vintage	Building Set with People	{Unknown}	1977	Policemen	86	0
5268	Vintage	Building Set with People	{Unknown}	1976	Family	94	0
5269	Vintage	Building Set with People	{Unknown}	1975	Airplane	89	0
5270	Vintage	Building Set with People	{Unknown}	1974	Antique Car	115	0
5271	Vintage	Building Set with People	{Unknown}	1976	Farm Set	120	0
7497	Vintage	Building Set with People	{Unknown}	1977	Cowboys	41	0
7498	Vintage	Building Set with People	{Unknown}	1977	Scooter	45	0
5108	Vintage	Building Set with People	{Unknown}	1974	LEGO Family	49	5
708	Miscellaneous	Books	LEGO	1985	Building Ideas Book	0	0
25033	Basic	System	Town Plan	1957	LEGO Town Plan Board, Plastic	1	0
25297	Basic	System	Town Plan	1959	LEGO Town Plan Board, Continental European Cardboard Version	1	0
25298	Basic	System	Town Plan	1962	LEGO Town Plan Board, UK / Australian Cardboard Version	1	0
743	Basic	Basic	{Unknown}	1978	People Set	120	29
22674	Vintage	Samsonite	Basic Set	1966	Small Basic Set	205	4.95
7513	Vintage	Building Set with People	{Unknown}	1978	Mother with baby	46	0
6694	Vintage	Building Set with People	{Unknown}	1976	Cowboys	39	0
25034	Basic	System	Town Plan	1958	Small Store Set	30	0
7478	Vintage	Building Set with People	{Unknown}	1976	Mother and baby with dog	46	0
25035	Basic	System	Town Plan	1958	Small House Set	20	0
25036	Basic	System	Town Plan	1958	Small House - Left Set	21	0
7479	Vintage	Building Set with People	{Unknown}	1976	Scooter	23	0
7499	Vintage	Building Set with People	{Unknown}	1977	Airplane ride	48	0
25037	Basic	System	Town Plan	1958	Small House - Right Set	21	0
7500	Vintage	Building Set with People	{Unknown}	1977	Road repair crew	68	0
25038	Basic	System	Supplemental	1958	Ten Windows and Doors, Red	10	0
25207	Basic	System	Supplemental	1958	Ten Windows and Doors, White	10	0
25300	Basic	System	Supplemental	1957	Windows and Doors Retailer Pack	0	0
7501	Vintage	Building Set with People	{Unknown}	1977	Red Indians	93	0
25049	Basic	System	Supplemental	1958	2 x 8 Bricks	6	0
26248	Vintage	Samsonite	Supplemental	1961	2 X 8 Bricks	9	0.5
25050	Basic	System	Supplemental	1958	2 x 10 Bricks	5	0
25575	Vintage	Samsonite	Supplemental	1961	2 X 10 Bricks	8	0
7502	Vintage	Building Set with People	{Unknown}	1977	Service Station	228	0
25051	Basic	System	Supplemental	1958	4 x 4 Corner Bricks	5	0
25573	Vintage	Samsonite	Supplemental	1961	4 x 4 Corner Bricks	10	0.5
6727	Vintage	Building Set with People	{Unknown}	1977	Firemen	274	0
25052	Basic	System	Supplemental	1958	2 x 4 Bricks	13	0
25560	Vintage	Samsonite	Supplemental	1961	2 x 4 Bricks	20	0.5
25053	Basic	System	Supplemental	1958	2 x 3 Bricks	15	0
26007	Vintage	Samsonite	Supplemental	1961	2 X 3 Bricks	24	0.5
25054	Basic	System	Supplemental	1958	2 x 2 Bricks	20	0
26241	Vintage	Samsonite	Supplemental	1961	2 X 2 Bricks	33	0.5
7397	Miscellaneous	Books	LEGO	1972	Let's Play with LEGO	0	0
5186	Miscellaneous	Books	LEGO	1973	Idea Book No. 1	0	0
25208	Basic	System	Supplemental	1958	1 x 2 Bricks	26	0
26242	Vintage	Samsonite	Supplemental	1961	1 X 2 Bricks	45	0.5
828	Miscellaneous	Books	LEGO	1975	Building Ideas Book	1	1
25209	Basic	System	Supplemental	1958	1 x 1 Bricks	40	0
25318	Vintage	Samsonite	Supplemental	1961	1 x 1 Bricks	40	0.5
22693	Vintage	Samsonite	Basic Set	1968	Adventure Set	223	5
25210	Basic	System	Supplemental	1958	1 x 1 Round Bricks	40	0
26352	Vintage	Samsonite	Supplemental	1961	1 x 1 Round Bricks	62	0.5
25258	Basic	System	Supplemental	1956	2 x 2 & 2 x 4 Curved Bricks	14	0
25311	Vintage	Samsonite	Supplemental	1961	Bricks Curved	33	0.5
25211	Basic	System	Supplemental	1958	2 x 2 Curved Bricks	20	0
25055	Basic	System	Supplemental	1957	1 x 6 and 1 x 8 Bricks	9	0
841	Miscellaneous	Books	LEGO	1977	Building Ideas Book No. 2	0	0
25056	Basic	System	Supplemental	1958	8 Named Beams	8	0
845	Miscellaneous	Books	LEGO	1981	Building Ideas Book	0	2.4
26353	Vintage	Samsonite	Supplemental	1961	1 X 8 & 1 X 6 Named Beams	10	0.5
27121	Miscellaneous	Books	LEGO	1984	The Building Book	0	0
25057	Basic	System	Supplemental	1958	4 x 8 Curved & 2 x 8 Plates	5	0
25058	Basic	System	Supplemental	1958	4 x 8 & 2 x 8 Plates	5	0
26354	Vintage	Samsonite	Supplemental	1961	4 X 8 Plates	10	0.5
25059	Basic	System	Supplemental	1958	6 x 8 & 2 x 8 Plates	4	0
853	Vintage	Homemaker	{Unknown}	1978	Hairdressing Salon	215	0
25060	Basic	System	Supplemental	1958	Six Trees and Bushes	6	0
26355	Vintage	Samsonite	Supplemental	1961	Trees and Bushes	12	0.5
862	Vintage	Homemaker	{Unknown}	1978	Hospital	379	0
25061	Basic	System	Supplemental	1956	Esso Pumps/Sign	2	0
26356	Vintage	Samsonite	Supplemental	1961	Esso Stations (Pumps and Sign)	2	0.5
869	Vintage	Homemaker	{Unknown}	1978	Bungalow	445	0
25062	Basic	System	Supplemental	1958	16 Road Signs	16	0
26357	Vintage	Samsonite	Supplemental	1961	Road Signs	15	0.5
25063	Basic	System	Supplemental	1958	Light Masts	4	0
26358	Vintage	Samsonite	Supplemental	1961	Street Lamps	9	0.5
25064	Basic	System	Supplemental	1958	Letter Bricks	50	0
26359	Vintage	Samsonite	Supplemental	1961	Lettered Bricks	35	0.5
25065	Basic	System	Supplemental	1958	Garage Plate and Door (White Base and Door Frame)	5	0
25323	Basic	System	Supplemental	1968	Garage Plate and Door (Gray Base and Door Frame)	5	0
26245	Vintage	Samsonite	Supplemental	1961	Garage Plate and Door (White Base and Door Frame)	3	0.5
25066	Basic	System	Town Plan	1956	Garage with Automatic Door (White base and door frame)	69	0
25167	Basic	System	Town Plan	1957	Garage and Van	69	0
25422	Basic	System	Town Plan	1968	Garage with Automatic Door (Gray base and door frame)	59	0
25067	Basic	System	Supplemental	1960	Number Bricks	50	0
26360	Vintage	Samsonite	Supplemental	1961	Numbered Bricks	35	0.5
8372	Miscellaneous	Books	LEGO	1968	The big LEGO book	0	0
28083	Miscellaneous	Books	LEGO	1966	Idea Book	0	0
8352	Miscellaneous	Books	LEGO	1967	Idea Book	0	0
8387	Miscellaneous	Books	LEGO	1969	Idea book	0	0
25068	Basic	System	Supplemental	1958	International Flags	5	0
25262	Basic	System	Supplemental	1958	5 Danish Flags	5	0
26361	Vintage	Samsonite	Supplemental	1961	International Flags	7	0.5
7421	Miscellaneous	Books	LEGO	1970	Big Model Book	0	0
22689	Vintage	Samsonite	Basic Set	1967	Explorer Set	244	4.97
25069	Basic	System	Supplemental	1958	Lighting Device Pack	3	0
8416	Basic	Basic	{Unknown}	1977	Two Santas	37	0
26206	Vintage	Samsonite	Supplemental	1961	Lighting Device Pack	3	0.5
25176	Vintage	Samsonite	Town Plan	1961	LEGO Town Plan Board	1	1.5
919	Basic	Basic	Seasonal	1977	Santa and Sleigh	1	1.5
7451	Vintage	Samsonite	Model Maker	1971	Factory with Conveyor Belt	248	8.8699
924	Miscellaneous	Books	LEGO	1987	Building Ideas Book	1	3
25070	Basic	System	HO 1:87 Vehicles	1956	1:87 Esso Bedford Tanker	1	0
7964	Vintage	Building Set with People	{Unknown}	1974	Aeroplane and pilot	90	0
7965	Vintage	Building Set with People	{Unknown}	1974	Windmill with miller and wife	92	0
25071	Basic	System	HO 1:87 Vehicles	1956	1:87 Esso Bedford Truck	1	0
